province,province_no,district,constituency_id,constituency_name,party,candidate_name,is_independent
Koshi,1,Taplejung,1,Taplejung-1,RSP,Birendra Shrestha,FALSE
Koshi,1,Taplejung,1,Taplejung-1,NC,Gajendra Tumyahang,FALSE
Koshi,1,Taplejung,1,Taplejung-1,UML,Kshitij Thebe,FALSE
Koshi,1,Taplejung,1,Taplejung-1,NCP,Khel Prasad Budhathoki,FALSE
Koshi,1,Taplejung,1,Taplejung-1,RPP,Indra Prasad Thapa,FALSE
Koshi,1,Panchthar,2,Panchthar-1,RSP,Mahendra Bikram Thamsuhang,FALSE
Koshi,1,Panchthar,2,Panchthar-1,NC,Narendra Kerung,FALSE
Koshi,1,Panchthar,2,Panchthar-1,UML,Aiendra Sundar Nembang,FALSE
Koshi,1,Panchthar,2,Panchthar-1,NCP,Harka Bahadur Nembang,FALSE
Koshi,1,Panchthar,2,Panchthar-1,RPP,Tej Kerumbang,FALSE
Koshi,1,Ilam,3,Ilam-1,RSP,Bimal Gadaal,FALSE
Koshi,1,Ilam,3,Ilam-1,NC,Niskal Rai,FALSE
Koshi,1,Ilam,3,Ilam-1,UML,Kajiman Kagate,FALSE
Koshi,1,Ilam,3,Ilam-1,NCP,Rana Bahadur Rai,FALSE
Koshi,1,Ilam,3,Ilam-1,RPP,Jwala Nepal Dahal,FALSE
Koshi,1,Ilam,4,Ilam-2,RSP,Gokul Bahadur Rai,FALSE
Koshi,1,Ilam,4,Ilam-2,NC,Bhesraj Acharaya,FALSE
Koshi,1,Ilam,4,Ilam-2,UML,Suhang Nembang,FALSE
Koshi,1,Ilam,4,Ilam-2,NCP,Om Bahadur Gurung,FALSE
Koshi,1,Ilam,4,Ilam-2,RPP,Ganesh Prasad Dulal,FALSE
Koshi,1,Jhapa,5,Jhapa-1,RSP,Nisha Dangi,FALSE
Koshi,1,Jhapa,5,Jhapa-1,NC,Keshab Raj Pandey,FALSE
Koshi,1,Jhapa,5,Jhapa-1,UML,Ram Chandra Upreti,FALSE
Koshi,1,Jhapa,5,Jhapa-1,NCP,Ashesh Ghimire,FALSE
Koshi,1,Jhapa,5,Jhapa-1,RPP,Hemraj Karki,FALSE
Koshi,1,Jhapa,6,Jhapa-2,RSP,Indira Rana Magar,FALSE
Koshi,1,Jhapa,6,Jhapa-2,NC,Sarita Prasai,FALSE
Koshi,1,Jhapa,6,Jhapa-2,UML,Devraj Ghimire,FALSE
Koshi,1,Jhapa,6,Jhapa-2,NCP,Dharmashila Chapagain,FALSE
Koshi,1,Jhapa,6,Jhapa-2,RPP,Swagat Nepal,FALSE
Koshi,1,Jhapa,6,Jhapa-2,JP,Ramesh Kumar Rajbanshi,FALSE
Koshi,1,Jhapa,7,Jhapa-3,RSP,Prakash Pathak,FALSE
Koshi,1,Jhapa,7,Jhapa-3,NC,Rajendra Ghimire,FALSE
Koshi,1,Jhapa,7,Jhapa-3,UML,Harilal Rajbanshi,FALSE
Koshi,1,Jhapa,7,Jhapa-3,NCP,Dilli Ghimire,FALSE
Koshi,1,Jhapa,7,Jhapa-3,RPP,Rajendra Prasad Lingden,FALSE
Koshi,1,Jhapa,7,Jhapa-3,JP,Bharat Lal Rajbanshi,FALSE
Koshi,1,Jhapa,8,Jhapa-4,RSP,Shambhu Suskera,FALSE
Koshi,1,Jhapa,8,Jhapa-4,NC,Deuman Thebe,FALSE
Koshi,1,Jhapa,8,Jhapa-4,UML,L.P. Sawa Limbu,FALSE
Koshi,1,Jhapa,8,Jhapa-4,NCP,Purushottam Chudel,FALSE
Koshi,1,Jhapa,8,Jhapa-4,RPP,Bhakti Prasad Sitaula,FALSE
Koshi,1,Jhapa,8,Jhapa-4,JP,Luthro Murmu,FALSE
Koshi,1,Jhapa,9,Jhapa-5,RSP,Balendra Shah,FALSE
Koshi,1,Jhapa,9,Jhapa-5,NC,Mandhara Chimariya,FALSE
Koshi,1,Jhapa,9,Jhapa-5,UML,K.P. Sharma Oli,FALSE
Koshi,1,Jhapa,9,Jhapa-5,NCP,Ranjit Tamang,FALSE
Koshi,1,Jhapa,9,Jhapa-5,RPP,Laxmi Prasad Sangraula,FALSE
Koshi,1,Jhapa,9,Jhapa-5,JP,Amrit Mahato,FALSE
Koshi,1,Sankhuwasabha,10,Sankhuwasabha-1,RSP,Mingma Sherpa,FALSE
Koshi,1,Sankhuwasabha,10,Sankhuwasabha-1,NC,Dipan Shrestha,FALSE
Koshi,1,Sankhuwasabha,10,Sankhuwasabha-1,UML,Arjun Karki,FALSE
Koshi,1,Sankhuwasabha,10,Sankhuwasabha-1,NCP,Sarita Khadka Thapa,FALSE
Koshi,1,Sankhuwasabha,10,Sankhuwasabha-1,RPP,Haridev Shrestha,FALSE
